Date,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
スペシャルウィーク(ウマ娘),33,44,279,400,539,382,339,450,308,293,303,312,333,378,255,262,343,219,304,295,210,210,202,210,202,195,157,148,206,171,153,192,166,163,163,179,171,191,145,141,228,167,204,158,186,102,0,0
サイレンススズカ(ウマ娘),11,34,277,489,547,316,327,341,324,270,298,355,430,431,301,383,455,363,379,429,326,293,271,328,299,285,283,352,392,324,342,494,284,317,241,290,210,242,183,283,355,195,280,329,298,178,0,0
トウカイテイオー(ウマ娘),73,89,608,1454,1167,820,729,686,564,490,450,472,458,489,434,513,406,384,393,381,308,278,284,342,292,251,261,366,203,223,242,250,223,282,250,277,252,292,241,330,195,186,236,253,214,147,0,0
マルゼンスキー(ウマ娘),4,11,57,98,110,58,95,121,91,59,57,71,103,91,72,65,134,68,117,92,71,67,63,54,66,47,48,43,96,46,62,47,52,40,36,51,51,59,54,61,87,62,64,55,59,44,0,0
フジキセキ(ウマ娘),1,0,7,22,22,28,104,80,74,53,54,35,58,56,78,125,63,65,72,50,44,45,52,69,69,57,51,74,41,41,34,38,48,42,41,40,29,30,31,71,96,227,120,87,68,44,0,0
オグリキャップ(ウマ娘),10,39,266,456,549,437,362,365,386,369,374,528,427,419,403,372,322,299,379,313,286,269,272,274,233,221,209,170,164,164,177,145,139,125,116,147,163,161,219,132,147,146,119,175,155,114,0,0
ゴールドシップ(ウマ娘),22,58,1007,1400,1414,953,829,694,594,545,454,490,527,494,511,399,424,376,485,628,331,345,314,366,296,312,304,245,180,198,235,303,268,291,201,265,215,268,362,274,232,228,217,249,205,130,0,0
ウオッカ(ウマ娘),3,15,83,149,187,136,144,140,138,120,106,131,118,148,129,109,172,107,113,95,91,117,148,171,102,86,67,90,114,100,79,70,52,61,48,77,66,51,52,97,53,74,56,55,59,50,0,0
ダイワスカーレット(ウマ娘),6,37,457,737,828,435,372,356,295,249,232,279,258,312,250,279,520,282,319,346,295,324,308,427,264,244,197,244,293,225,173,187,147,160,160,218,169,202,178,187,283,206,182,200,175,163,0,0
タイキシャトル(ウマ娘),0,0,49,65,82,67,82,50,75,58,60,56,72,76,97,71,66,77,98,150,84,69,55,56,56,40,85,36,35,51,52,69,59,47,56,42,52,51,77,53,46,54,48,70,43,28,0,0
グラスワンダー(ウマ娘),10,20,70,165,263,217,222,190,205,195,178,220,200,290,194,181,167,157,202,183,168,127,133,168,177,215,99,134,103,114,130,148,130,128,92,132,114,209,111,85,111,94,99,114,102,83,0,0
ヒシアマゾン(ウマ娘),1,1,16,37,37,138,130,63,61,58,39,48,55,71,90,60,62,49,50,46,56,49,44,52,44,36,60,43,64,79,50,56,63,40,40,52,33,57,67,45,60,41,36,42,36,27,0,0
メジロマックイーン(ウマ娘),28,71,657,1339,1262,983,820,707,604,580,550,566,599,548,491,590,464,430,497,610,370,416,371,405,360,325,330,472,280,242,241,294,294,311,325,314,288,358,282,328,228,267,278,285,231,150,0,0
エルコンドルパサー(ウマ娘),4,8,83,117,121,122,125,80,115,90,88,97,103,110,114,80,82,81,111,93,76,48,73,65,59,56,80,55,53,56,57,63,66,57,34,57,42,55,71,39,33,29,57,59,47,29,0,0
テイエムオペラオー(ウマ娘),5,3,52,83,109,98,102,134,106,92,108,111,155,104,164,111,121,104,78,72,55,64,50,80,78,83,140,169,228,124,111,99,103,74,68,101,111,102,134,84,181,148,104,96,77,43,0,0
ナリタブライアン(ウマ娘),0,1,23,59,221,181,179,158,145,174,164,156,150,167,161,159,197,119,127,104,116,98,120,157,110,93,71,105,116,63,66,89,73,68,57,81,60,78,76,57,91,69,50,48,56,62,0,0
シンボリルドルフ(ウマ娘),4,10,145,318,400,327,272,281,266,293,275,241,231,222,259,239,268,227,235,223,204,194,180,262,221,208,257,166,150,155,160,179,138,148,154,182,131,165,196,121,113,144,139,131,177,116,0,0
エアグルーヴ(ウマ娘),2,2,58,161,180,178,134,125,129,170,132,133,170,150,125,223,184,158,157,152,147,106,136,153,140,114,111,166,105,111,95,170,103,128,109,124,98,127,102,124,78,107,109,86,94,69,0,0
アグネスデジタル(ウマ娘),1,0,8,37,68,107,93,88,371,245,226,278,203,251,176,166,268,147,174,218,248,317,129,167,143,160,153,120,206,101,121,163,116,120,106,110,104,113,91,91,182,93,107,137,90,45,0,0
セイウンスカイ(ウマ娘),8,9,40,131,138,537,341,307,306,288,292,367,348,349,374,584,315,270,306,304,302,204,214,244,228,217,151,313,174,193,181,183,132,159,148,133,162,174,145,263,146,179,139,134,137,99,0,0
タマモクロス(ウマ娘),1,8,54,173,335,230,174,261,301,343,297,741,470,333,273,251,343,252,256,198,198,210,268,176,156,150,128,113,206,108,127,159,134,118,109,106,98,103,105,92,138,99,86,106,109,77,0,0
ファインモーション(ウマ娘),4,0,7,19,38,32,30,37,74,56,53,283,269,154,192,195,184,194,181,122,125,129,105,123,200,126,115,96,107,76,103,94,110,107,90,111,176,108,90,83,79,82,87,109,89,60,0,0
ビワハヤヒデ(ウマ娘),3,5,54,127,197,156,138,121,108,95,123,173,99,93,124,106,105,109,97,89,97,67,55,81,62,74,93,53,69,56,67,49,55,63,66,64,47,60,90,46,61,65,32,48,43,47,0,0
マヤノトップガン(ウマ娘),2,11,216,301,406,408,219,238,206,190,181,258,149,146,178,135,204,202,156,160,124,128,97,136,107,112,147,129,130,111,112,115,99,91,81,134,110,107,118,96,93,92,87,97,156,172,0,0
マンハッタンカフェ(ウマ娘),4,2,46,147,226,178,202,229,263,868,578,437,394,386,488,450,416,418,381,418,402,384,285,357,368,388,475,341,287,340,449,466,320,312,316,440,430,472,430,347,430,555,406,403,348,211,0,0
ミホノブルボン(ウマ娘),2,18,174,413,385,355,293,244,238,341,203,228,254,379,212,246,189,184,195,186,144,169,119,156,155,159,142,202,119,100,126,128,125,145,140,133,99,164,101,167,133,129,120,136,153,120,0,0
メジロライアン(ウマ娘),1,1,26,62,59,57,41,43,46,46,33,39,30,42,67,87,59,54,58,37,39,36,35,37,61,70,32,39,33,30,23,31,37,26,29,39,30,28,25,37,28,30,27,22,28,24,0,0
ヒシアケボノ(ウマ娘),0,1,0,15,15,19,12,11,175,45,20,25,46,57,33,33,27,29,17,34,20,34,19,15,23,49,28,19,10,33,36,20,24,19,28,23,20,61,28,14,24,32,40,55,33,19,0,0
ユキノビジン(ウマ娘),1,0,2,5,8,2,5,11,11,10,26,15,17,16,29,25,19,16,10,19,109,31,18,20,30,27,32,17,16,23,24,24,22,21,17,17,36,53,48,20,17,16,23,17,19,12,0,0
ライスシャワー(ウマ娘),8,110,957,1470,1392,1087,899,740,883,1235,691,673,650,668,730,452,539,578,539,546,391,518,398,485,435,426,514,466,354,423,432,440,415,496,373,385,297,374,393,295,292,307,388,334,313,243,0,0
アイネスフウジン(ウマ娘),0,1,7,10,13,18,6,14,8,21,9,9,16,23,23,33,222,55,47,60,61,45,39,45,55,97,36,43,23,24,30,52,21,40,25,20,18,24,15,43,31,23,21,40,28,16,0,0
Vol.56「アイネスフウジン」【トレセン学園生徒紹介】 - YouTube 🌐(ウマ娘),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アグネスタキオン(ウマ娘),1,8,377,929,979,712,608,659,609,618,560,531,551,578,545,641,461,420,463,537,484,433,331,384,385,347,376,466,323,310,363,521,318,250,218,350,276,274,296,409,546,811,548,473,345,219,0,0
アドマイヤベガ(ウマ娘),1,2,5,6,26,24,29,46,54,45,39,42,135,338,313,177,233,238,238,225,217,164,159,196,230,160,252,342,569,278,255,280,244,199,194,239,213,226,268,151,294,246,239,196,182,157,0,0
イナリワン(ウマ娘),1,1,1,4,11,19,12,19,21,12,18,46,28,37,24,23,50,194,72,45,44,51,90,52,43,40,34,29,63,31,36,40,35,27,29,29,27,30,23,27,46,21,27,36,34,25,0,0
ウイニングチケット(ウマ娘),2,2,17,74,154,123,98,99,92,65,78,69,61,73,95,80,74,68,62,85,94,58,36,53,43,82,55,33,38,34,39,45,35,33,35,34,32,47,72,44,40,40,27,36,30,28,0,0
エアシャカール(ウマ娘),0,1,21,63,84,70,55,60,108,86,67,134,102,125,108,120,107,92,305,162,132,124,123,113,122,157,116,87,95,78,112,111,112,116,73,90,109,148,106,88,75,81,106,82,81,53,0,0
エイシンフラッシュ(ウマ娘),3,5,13,29,44,47,59,304,281,170,166,156,195,297,210,156,170,151,135,155,134,142,145,162,146,141,151,126,107,120,124,108,103,129,69,93,82,123,149,97,107,79,169,210,151,119,0,0
カレンチャン(ウマ娘),2,3,5,209,231,156,140,127,158,181,170,151,183,221,249,158,208,339,223,221,222,189,144,164,200,213,292,251,246,154,153,159,194,235,198,213,201,218,226,184,177,202,223,183,219,145,0,0
カワカミプリンセス(ウマ娘),1,1,4,10,12,33,13,10,14,193,60,43,48,50,55,70,63,53,51,35,40,35,22,27,40,41,27,27,23,66,35,53,59,53,53,31,32,47,38,36,31,59,31,23,27,22,0,0
ゴールドシチー(ウマ娘),0,1,4,12,14,11,77,60,75,62,83,52,59,66,64,108,73,77,66,75,80,58,56,48,72,62,61,73,79,70,80,82,60,56,71,68,70,71,69,93,65,66,76,56,77,50,0,0
サクラバクシンオー(ウマ娘),1,26,209,351,257,175,177,140,119,170,120,118,160,183,130,165,99,87,101,112,88,78,69,65,63,71,77,168,81,68,82,98,86,88,71,55,61,95,94,106,83,50,87,63,68,48,0,0
シーキングザパール(ウマ娘),0,0,1,1,3,3,2,3,4,2,0,0,2,4,4,13,11,5,3,7,27,20,5,7,8,5,3,13,6,4,13,15,4,4,3,5,8,7,5,18,9,5,7,6,10,18,0,0
シンコウウインディ(ウマ娘),0,1,3,2,1,11,16,18,44,50,27,34,50,45,44,53,51,46,32,40,37,58,27,15,18,131,40,50,35,29,30,46,46,30,21,19,26,23,16,41,27,17,18,35,32,13,0,0
